type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	6	陕西	移动	sn-cm-v6.ibsgss.uk	2409:8c70:3a10:2:8000:0:b00:73	80	sn-cm-v6.ip.zstaticcdn.com	bak.sn-cm-v6.ibsgss.uk		80	xa-cm-v6.ip.zstaticcdn.com
cdn	6	甘肃	电信	gs-ct-v6.ibsgss.uk	240e:bf:c800:2904:8000:0:b00:63	80	gs-ct-v6.ip.zstaticcdn.com	bak.gs-ct-v6.ibsgss.uk		80	lz-ct-v6.ip.zstaticcdn.com
cdn	6	甘肃	联通	gs-cu-v6.ibsgss.uk	2408:8001:c01d:7:8000:0:b00:35	80	gs-cu-v6.ip.zstaticcdn.com	bak.gs-cu-v6.ibsgss.uk		80	lz-cu-v6.ip.zstaticcdn.com
cdn	6	甘肃	移动	gs-cm-v6.ibsgss.uk	2409:8c74:f100:404:8000:0:b00:98	80	gs-cm-v6.ip.zstaticcdn.com	bak.gs-cm-v6.ibsgss.uk		80	lz-cm-v6.ip.zstaticcdn.com
cdn	6	青海	电信	qh-ct-v6.ibsgss.uk	240e:90:2006:2:8000:0:b00:85	80	qh-ct-v6.ip.zstaticcdn.com	bak.qh-ct-v6.ibsgss.uk		80	xn-ct-v6.ip.zstaticcdn.com
cdn	6	青海	联通	qh-cu-v6.ibsgss.uk	2408:8776:1:13:8000:0:b00:224	80	qh-cu-v6.ip.zstaticcdn.com	bak.qh-cu-v6.ibsgss.uk		80	xn-cu-v6.ip.zstaticcdn.com
cdn	6	青海	移动	qh-cm-v6.ibsgss.uk	2409:8c78:100:30:8000:0:b00:98	80	qh-cm-v6.ip.zstaticcdn.com	bak.qh-cm-v6.ibsgss.uk		80	xn-cm-v6.ip.zstaticcdn.com
cdn	6	内蒙古	电信	nm-ct-v6.ibsgss.uk	240e:918:8011:8000::b00:80	80	nm-ct-v6.ip.zstaticcdn.com	bak.nm-ct-v6.ibsgss.uk		80	hhht-ct-v6.ip.zstaticcdn.com
cdn	6	内蒙古	联通	nm-cu-v6.ibsgss.uk	2408:872b:e02:12:8000:0:b00:9	80	nm-cu-v6.ip.zstaticcdn.com	bak.nm-cu-v6.ibsgss.uk		80	hhht-cu-v6.ip.zstaticcdn.com
cdn	6	内蒙古	移动	nm-cm-v6.ibsgss.uk	2409:8c10:c00:88:8000:0:b00:76	80	nm-cm-v6.ip.zstaticcdn.com	bak.nm-cm-v6.ibsgss.uk		80	hhht-cm-v6.ip.zstaticcdn.com
cdn	6	广西	电信	gx-ct-v6.ibsgss.uk	240e:951:2c10:5800:8000:0:b00:9	80	gx-ct-v6.ip.zstaticcdn.com	bak.gx-ct-v6.ibsgss.uk		80	nn-ct-v6.ip.zstaticcdn.com
cdn	6	广西	联通	gx-cu-v6.ibsgss.uk	2408:875c:3000:5:8000:0:b00:225	80	gx-cu-v6.ip.zstaticcdn.com	bak.gx-cu-v6.ibsgss.uk		80	nn-cu-v6.ip.zstaticcdn.com
cdn	6	广西	移动	gx-cm-v6.ibsgss.uk	2409:8c5c:110:27:8000:0:b00:99	80	gx-cm-v6.ip.zstaticcdn.com	bak.gx-cm-v6.ibsgss.uk		80	nn-cm-v6.ip.zstaticcdn.com
cdn	6	西藏	电信	xz-ct-v6.ibsgss.uk	240e:45:d000:3004:8000:0:b00:77	80	xz-ct-v6.ip.zstaticcdn.com	bak.xz-ct-v6.ibsgss.uk		80	lasa-ct-v6.ip.zstaticcdn.com
cdn	6	西藏	联通	xz-cu-v6.ibsgss.uk	2408:876e:3:0:8000:0:b00:228	80	xz-cu-v6.ip.zstaticcdn.com	bak.xz-cu-v6.ibsgss.uk		80	lasa-cu-v6.ip.zstaticcdn.com
cdn	6	西藏	移动	xz-cm-v6.ibsgss.uk	2409:8c7e:0:18:8000:0:b00:228	80	xz-cm-v6.ip.zstaticcdn.com	bak.xz-cm-v6.ibsgss.uk		80	lasa-cm-v6.ip.zstaticcdn.com
