type	family	province	isp	host	ip	port	target	backup_host	backup_ip	backup_port	backup_target
cdn	4	陕西	联通	sn-cu-v4.ibsgss.uk	124.89.67.172	80	sn-cu-v4.ip.zstaticcdn.com	bak.sn-cu-v4.ibsgss.uk	124.89.84.248	80	sn-xianyang-cu-v4.ip.zstaticcdn.com
cdn	6	陕西	联通	sn-cu-v6.ibsgss.uk	2408:873c:6010:5:8000:0:b00:77	80	sn-cu-v6.ip.zstaticcdn.com	bak.sn-cu-v6.ibsgss.uk		80	xa-cu-v6.ip.zstaticcdn.com
cdn	4	陕西	移动	sn-cm-v4.ibsgss.uk	218.200.36.30	80	sn-cm-v4.ip.zstaticcdn.com	bak.sn-cm-v4.ibsgss.uk	36.133.96.129	80	sn-xian-cm-v4.ip.zstaticcdn.com
cdn	6	陕西	移动	sn-cm-v6.ibsgss.uk	2409:8c70:3a10:2:8000:0:b00:73	80	sn-cm-v6.ip.zstaticcdn.com	bak.sn-cm-v6.ibsgss.uk		80	xa-cm-v6.ip.zstaticcdn.com
cdn	4	甘肃	电信	gs-ct-v4.ibsgss.uk	113.142.39.64	80	gs-ct-v4.ip.zstaticcdn.com	bak.gs-ct-v4.ibsgss.uk	125.75.103.73	80	gs-lanzhou-ct-v4.ip.zstaticcdn.com
cdn	6	甘肃	电信	gs-ct-v6.ibsgss.uk	240e:bf:c800:2904:8000:0:b00:77	80	gs-ct-v6.ip.zstaticcdn.com	bak.gs-ct-v6.ibsgss.uk		80	lz-ct-v6.ip.zstaticcdn.com
cdn	4	甘肃	联通	gs-cu-v4.ibsgss.uk	116.176.34.50	80	gs-cu-v4.ip.zstaticcdn.com	bak.gs-cu-v4.ibsgss.uk		80	lz-cu-v4.ip.zstaticcdn.com
cdn	6	甘肃	联通	gs-cu-v6.ibsgss.uk	2408:8001:c01d:7:8000:0:b00:34	80	gs-cu-v6.ip.zstaticcdn.com	bak.gs-cu-v6.ibsgss.uk		80	lz-cu-v6.ip.zstaticcdn.com
cdn	4	甘肃	移动	gs-cm-v4.ibsgss.uk	117.156.11.228	80	gs-cm-v4.ip.zstaticcdn.com	bak.gs-cm-v4.ibsgss.uk	211.139.91.37	80	gs.10086.cn
cdn	6	甘肃	移动	gs-cm-v6.ibsgss.uk	2409:8c74:f100:404:8000:0:b00:98	80	gs-cm-v6.ip.zstaticcdn.com	bak.gs-cm-v6.ibsgss.uk		80	lz-cm-v6.ip.zstaticcdn.com
cdn	4	青海	电信	qh-ct-v4.ibsgss.uk	118.213.159.254	80	qh-ct-v4.ip.zstaticcdn.com	bak.qh-ct-v4.ibsgss.uk	223.221.8.12	443	qh.189.cn
cdn	6	青海	电信	qh-ct-v6.ibsgss.uk	240e:90:2006:2:8000:0:b00:84	80	qh-ct-v6.ip.zstaticcdn.com	bak.qh-ct-v6.ibsgss.uk		80	xn-ct-v6.ip.zstaticcdn.com
cdn	4	青海	联通	qh-cu-v4.ibsgss.uk	43.242.183.150	80	qh-cu-v4.ip.zstaticcdn.com	bak.qh-cu-v4.ibsgss.uk	139.170.157.88	80	qh-xining-cu-v4.ip.zstaticcdn.com
cdn	6	青海	联通	qh-cu-v6.ibsgss.uk	2408:8776:1:13:8000:0:b00:223	80	qh-cu-v6.ip.zstaticcdn.com	bak.qh-cu-v6.ibsgss.uk		80	xn-cu-v6.ip.zstaticcdn.com
cdn	4	青海	移动	qh-cm-v4.ibsgss.uk	111.44.158.47	80	qh-cm-v4.ip.zstaticcdn.com	bak.qh-cm-v4.ibsgss.uk		80	xn-cm-v4.ip.zstaticcdn.com
cdn	6	青海	移动	qh-cm-v6.ibsgss.uk	2409:8c78:100:30:8000:0:b00:98	80	qh-cm-v6.ip.zstaticcdn.com	bak.qh-cm-v6.ibsgss.uk		80	xn-cm-v6.ip.zstaticcdn.com
cdn	4	内蒙古	电信	nm-ct-v4.ibsgss.uk	219.148.161.68	80	nm-ct-v4.ip.zstaticcdn.com	bak.nm-ct-v4.ibsgss.uk	150.223.192.249	80	nm-huhehaote-ct-v4.ip.zstaticcdn.com
cdn	6	内蒙古	电信	nm-ct-v6.ibsgss.uk	240e:925:2:400:8000:0:b00:99	80	nm-ct-v6.ip.zstaticcdn.com	bak.nm-ct-v6.ibsgss.uk		80	hhht-ct-v6.ip.zstaticcdn.com
cdn	4	内蒙古	联通	nm-cu-v4.ibsgss.uk	116.95.24.2	80	nm-cu-v4.ip.zstaticcdn.com	bak.nm-cu-v4.ibsgss.uk	106.74.14.40	80	nm-huhehaote-cu-v4.ip.zstaticcdn.com
cdn	6	内蒙古	联通	nm-cu-v6.ibsgss.uk	2408:872b:e02:12:8000:0:b00:8	80	nm-cu-v6.ip.zstaticcdn.com	bak.nm-cu-v6.ibsgss.uk		80	hhht-cu-v6.ip.zstaticcdn.com
cdn	4	内蒙古	移动	nm-cm-v4.ibsgss.uk	218.202.107.179	80	nm-cm-v4.ip.zstaticcdn.com	bak.nm-cm-v4.ibsgss.uk	36.134.88.65	80	nm-huhehaote-cm-v4.ip.zstaticcdn.com
cdn	6	内蒙古	移动	nm-cm-v6.ibsgss.uk	2409:8c10:c00:88:8000:0:b00:69	80	nm-cm-v6.ip.zstaticcdn.com	bak.nm-cm-v6.ibsgss.uk		80	hhht-cm-v6.ip.zstaticcdn.com
cdn	4	广西	电信	gx-ct-v4.ibsgss.uk	171.111.157.173	80	gx-ct-v4.ip.zstaticcdn.com	bak.gx-ct-v4.ibsgss.uk	116.8.128.2	443	gx.189.cn
cdn	6	广西	电信	gx-ct-v6.ibsgss.uk	240e:951:2c10:5800:8000:0:b00:9	80	gx-ct-v6.ip.zstaticcdn.com	bak.gx-ct-v6.ibsgss.uk		80	nn-ct-v6.ip.zstaticcdn.com
cdn	4	广西	联通	gx-cu-v4.ibsgss.uk	182.90.241.47	80	gx-cu-v4.ip.zstaticcdn.com	bak.gx-cu-v4.ibsgss.uk	182.91.12.76	80	gx-guilin-cu-v4.ip.zstaticcdn.com
cdn	6	广西	联通	gx-cu-v6.ibsgss.uk	2408:875c:3000:5:8000:0:b00:226	80	gx-cu-v6.ip.zstaticcdn.com	bak.gx-cu-v6.ibsgss.uk		80	nn-cu-v6.ip.zstaticcdn.com
cdn	4	广西	移动	gx-cm-v4.ibsgss.uk	36.136.125.170	80	gx-cm-v4.ip.zstaticcdn.com	bak.gx-cm-v4.ibsgss.uk	112.54.48.41	443	gx.10086.cn
cdn	6	广西	移动	gx-cm-v6.ibsgss.uk	2409:8c5c:110:27:8000:0:b00:99	80	gx-cm-v6.ip.zstaticcdn.com	bak.gx-cm-v6.ibsgss.uk		80	nn-cm-v6.ip.zstaticcdn.com
cdn	4	西藏	电信	xz-ct-v4.ibsgss.uk	113.62.127.100	80	xz-ct-v4.ip.zstaticcdn.com	bak.xz-ct-v4.ibsgss.uk	113.62.183.157	80	xz-lasa-ct-v4.ip.zstaticcdn.com
cdn	6	西藏	电信	xz-ct-v6.ibsgss.uk	240e:45:d000:3004:8000:0:b00:76	80	xz-ct-v6.ip.zstaticcdn.com	bak.xz-ct-v6.ibsgss.uk		80	lasa-ct-v6.ip.zstaticcdn.com
cdn	4	西藏	联通	xz-cu-v4.ibsgss.uk	116.172.153.99	80	xz-cu-v4.ip.zstaticcdn.com	bak.xz-cu-v4.ibsgss.uk		80	lasa-cu-v4.ip.zstaticcdn.com
cdn	6	西藏	联通	xz-cu-v6.ibsgss.uk	2408:876e:3:0:8000:0:b00:227	80	xz-cu-v6.ip.zstaticcdn.com	bak.xz-cu-v6.ibsgss.uk		80	lasa-cu-v6.ip.zstaticcdn.com
cdn	4	西藏	移动	xz-cm-v4.ibsgss.uk	223.85.105.161	80	xz-cm-v4.ip.zstaticcdn.com	bak.xz-cm-v4.ibsgss.uk		80	lasa-cm-v4.ip.zstaticcdn.com
cdn	6	西藏	移动	xz-cm-v6.ibsgss.uk	2409:8c7e:0:18:8000:0:b00:227	80	xz-cm-v6.ip.zstaticcdn.com	bak.xz-cm-v6.ibsgss.uk		80	lasa-cm-v6.ip.zstaticcdn.com
cdn	4	宁夏	电信	nx-ct-v4.ibsgss.uk	222.75.44.145	80	nx-ct-v4.ip.zstaticcdn.com	bak.nx-ct-v4.ibsgss.uk	61.133.213.210	443	nx.189.cn
cdn	6	宁夏	电信	nx-ct-v6.ibsgss.uk	240e:91c:0:5:8000:0:b00:227	80	nx-ct-v6.ip.zstaticcdn.com	bak.nx-ct-v6.ibsgss.uk		80	yinchuan-ct-v6.ip.zstaticcdn.com
cdn	4	宁夏	联通	nx-cu-v4.ibsgss.uk	42.63.59.199	80	nx-cu-v4.ip.zstaticcdn.com	bak.nx-cu-v4.ibsgss.uk	42.63.68.8	80	nx-yinchuan-cu-v4.ip.zstaticcdn.com
cdn	6	宁夏	联通	nx-cu-v6.ibsgss.uk	2408:8778:109:2:8000:0:b00:94	80	nx-cu-v6.ip.zstaticcdn.com	bak.nx-cu-v6.ibsgss.uk		80	yinchuan-cu-v6.ip.zstaticcdn.com
cdn	4	宁夏	移动	nx-cm-v4.ibsgss.uk	111.51.76.215	80	nx-cm-v4.ip.zstaticcdn.com	bak.nx-cm-v4.ibsgss.uk	218.203.120.131	443	nx.10086.cn
cdn	6	宁夏	移动	nx-cm-v6.ibsgss.uk	2409:8c7a:a01:70:8000:0:b00:86	80	nx-cm-v6.ip.zstaticcdn.com	bak.nx-cm-v6.ibsgss.uk		80	yinchuan-cm-v6.ip.zstaticcdn.com
cdn	4	新疆	电信	xj-ct-v4.ibsgss.uk	113.142.39.73	80	xj-ct-v4.ip.zstaticcdn.com	bak.xj-ct-v4.ibsgss.uk	120.71.61.247	80	xj-wulumuqi-ct-v4.ip.zstaticcdn.com
cdn	6	新疆	电信	xj-ct-v6.ibsgss.uk	240e:bf:c800:2904:8000:0:b00:85	80	xj-ct-v6.ip.zstaticcdn.com	bak.xj-ct-v6.ibsgss.uk		80	wlmq-ct-v6.ip.zstaticcdn.com
cdn	4	新疆	联通	xj-cu-v4.ibsgss.uk	116.178.158.250	80	xj-cu-v4.ip.zstaticcdn.com	bak.xj-cu-v4.ibsgss.uk	124.88.196.248	80	xj-bayinguoleng-cu-v4.ip.zstaticcdn.com
cdn	6	新疆	联通	xj-cu-v6.ibsgss.uk	2408:877a:2000:30:8000:0:b00:75	80	xj-cu-v6.ip.zstaticcdn.com	bak.xj-cu-v6.ibsgss.uk		80	wlmq-cu-v6.ip.zstaticcdn.com
cdn	4	新疆	移动	xj-cm-v4.ibsgss.uk	36.189.15.245	80	xj-cm-v4.ip.zstaticcdn.com	bak.xj-cm-v4.ibsgss.uk	221.181.13.25	443	xj.10086.cn
cdn	6	新疆	移动	xj-cm-v6.ibsgss.uk	2409:8c70:3a08:7:8000:0:b00:38	80	xj-cm-v6.ip.zstaticcdn.com	bak.xj-cm-v6.ibsgss.uk		80	wlmq-cm-v6.ip.zstaticcdn.com
cdn	4	北京	电信	bj-ct-v4.ibsgss.uk	106.37.68.13	80	bj-ct-v4.ip.zstaticcdn.com	bak.bj-ct-v4.ibsgss.uk	106.37.68.13	443	bj.189.cn
cdn	6	北京	电信	bj-ct-v6.ibsgss.uk	240e:904:800:1f80::b00:123	80	bj-ct-v6.ip.zstaticcdn.com	bak.bj-ct-v6.ibsgss.uk	240e:904:800:1f80::b00:123	80	bj-ct-v6.ip.zstaticcdn.com
cdn	4	北京	联通	bj-cu-v4.ibsgss.uk	221.222.185.232	80	bj-cu-v4.ip.zstaticcdn.com	bak.bj-cu-v4.ibsgss.uk	221.222.185.232	80	bj-cu-v4.ip.zstaticcdn.com
cdn	6	北京	联通	bj-cu-v6.ibsgss.uk	2408:8706:0:dd80::b00:95	80	bj-cu-v6.ip.zstaticcdn.com	bak.bj-cu-v6.ibsgss.uk	2408:8706:0:dd80::b00:95	80	bj-cu-v6.ip.zstaticcdn.com
